50,1280,720,90,26.6874,26.1810,25.6988,36.1180,1.4786,37.47
50,1280,720,90,26.1499,25.8997,25.3975,31.7080,0.9236,38.24
50,1280,720,90,26.1607,26.0465,25.4585,28.5991,0.5251,38.23
50,1280,720,90,26.8330,26.1290,25.4441,36.7704,1.9666,37.27
50,1280,720,90,26.4731,26.0783,25.4486,33.5604,1.1189,37.77
50,1280,720,90,26.9628,26.3886,25.4914,33.3009,1.6040,37.09
50,1280,720,90,27.3467,26.7834,25.7512,33.4956,1.5310,36.57
50,1280,720,90,28.2912,26.5809,25.8491,49.3084,4.8295,35.35
50,1280,720,90,26.7700,26.5786,25.5727,33.5163,1.2216,37.36
50,1280,720,90,26.4910,26.2772,25.8157,29.0028,0.5957,37.75
100,1280,720,90,38.8100,37.7738,36.0225,61.8149,3.6813,25.77
100,1280,720,90,40.5551,39.2097,35.6009,69.9209,5.3760,24.66
100,1280,720,90,37.8058,36.8758,35.9418,57.3675,2.9642,26.45
100,1280,720,90,38.1231,37.1717,36.0717,47.7720,2.5474,26.23
100,1280,720,90,37.5336,37.0405,35.9602,45.7800,1.5780,26.64
100,1280,720,90,37.4442,36.8653,35.6807,44.8401,1.8414,26.71
100,1280,720,90,37.3618,37.0162,35.9083,44.1094,1.2979,26.77
100,1280,720,90,37.0889,36.8994,35.6219,40.7086,0.8321,26.96
100,1280,720,90,37.7407,37.0806,35.9588,46.0802,1.7636,26.50
100,1280,720,90,37.6822,37.0621,35.9158,49.5628,2.3953,26.54
200,1280,720,90,57.2623,56.5152,54.9275,68.7452,2.4465,17.46
200,1280,720,90,57.5638,56.8284,55.7306,68.5900,2.3015,17.37
200,1280,720,90,58.9200,57.0426,55.3970,94.0767,6.7901,16.97
200,1280,720,90,57.1379,56.6206,55.2141,67.9662,1.8200,17.50
200,1280,720,90,57.8504,56.7535,55.3140,73.5872,3.3370,17.29
200,1280,720,90,58.8327,57.7509,55.1443,79.7699,3.4827,17.00
200,1280,720,90,57.9346,56.7608,55.0039,85.1603,4.0773,17.26
200,1280,720,90,58.1643,57.1921,55.2633,69.4119,3.0667,17.19
200,1280,720,90,57.2343,56.7993,55.2169,69.9436,2.0560,17.47
200,1280,720,90,57.7088,56.9216,55.1059,70.1386,2.4849,17.33
300,1280,720,90,82.6250,81.6700,78.2041,102.3701,4.0868,12.10
300,1280,720,90,83.3293,80.9658,78.6937,141.2802,7.9687,12.00
300,1280,720,90,81.8188,80.9772,78.1905,102.8019,3.6159,12.22
300,1280,720,90,82.4725,81.7167,78.3788,100.6069,3.7405,12.13
300,1280,720,90,83.3321,82.0897,79.2899,103.5180,4.5567,12.00
300,1280,720,90,82.3884,81.4974,78.6213,101.3697,3.6054,12.14
300,1280,720,90,81.8904,81.0277,78.6239,97.0832,3.3141,12.21
300,1280,720,90,83.7001,82.0743,78.5663,107.0820,5.2733,11.95
300,1280,720,90,87.4311,86.7367,84.2030,101.2182,2.8449,11.44
300,1280,720,90,82.9417,81.9962,78.5241,99.8805,3.9296,12.06
400,1280,720,90,110.8024,108.5653,100.4565,144.3553,8.0123,9.03
400,1280,720,90,110.8134,109.5072,101.8055,132.4820,6.5939,9.02
400,1280,720,90,107.0247,106.1950,101.4889,128.5078,4.2463,9.34
400,1280,720,90,109.6589,108.2581,102.2155,148.2035,6.6003,9.12
400,1280,720,90,115.6534,107.7593,99.4396,215.6893,19.0075,8.65
400,1280,720,90,103.6382,102.3971,99.2958,137.1117,5.2263,9.65
400,1280,720,90,104.2922,103.2257,99.4429,129.4795,4.6459,9.59
400,1280,720,90,102.9909,102.2584,99.3434,117.2857,3.0395,9.71
400,1280,720,90,102.1934,101.3914,94.5266,117.0188,3.5858,9.79
400,1280,720,90,102.9646,101.4047,98.4853,121.9599,4.8248,9.71
500,1280,720,90,126.0559,124.6503,121.2506,196.2642,8.3879,7.93
500,1280,720,90,124.8070,123.5595,121.3148,151.0401,4.4215,8.01
500,1280,720,90,125.7740,124.6898,120.8633,148.5208,4.7217,7.95
500,1280,720,90,124.5017,123.6521,120.4967,142.5033,3.8902,8.03
500,1280,720,90,124.4898,123.3334,120.3656,143.1065,4.2447,8.03
500,1280,720,90,126.7473,124.4324,120.7055,215.3374,10.6668,7.89
500,1280,720,90,124.6001,123.2947,120.8642,143.0145,4.4339,8.03
500,1280,720,90,125.3639,124.1678,120.8807,143.8831,4.4640,7.98
500,1280,720,90,124.1321,123.3656,120.1185,139.8049,3.1522,8.06
500,1280,720,90,127.7233,125.4524,121.1372,211.7694,10.5521,7.83
750,1280,720,90,174.9187,173.5767,169.1868,200.4660,4.9261,5.72
750,1280,720,90,175.4913,173.5505,169.0733,205.5429,6.8337,5.70
750,1280,720,90,398.4690,383.5803,168.7320,1173.7776,97.2064,2.51
750,1280,720,90,375.8634,373.7649,328.1305,440.1070,19.8380,2.66
750,1280,720,90,376.5238,374.7801,336.5325,475.1920,18.9445,2.66
750,1280,720,90,375.6139,375.1739,330.2705,500.2414,19.4112,2.66
750,1280,720,90,371.4944,371.7043,329.0483,415.8722,17.1286,2.69
750,1280,720,90,379.9197,377.8868,334.9069,478.1014,23.8133,2.63
750,1280,720,90,378.6783,376.3144,336.7755,450.3530,21.2450,2.64
750,1280,720,90,385.6458,386.4727,320.6925,449.6321,25.4147,2.59
1000,1280,720,90,493.9965,481.7010,434.1718,655.3594,43.2626,2.02
1000,1280,720,90,482.6566,479.2971,438.5924,625.5024,26.5242,2.07
1000,1280,720,90,485.9496,481.1389,430.5696,553.3365,25.5828,2.06
1000,1280,720,90,482.6783,482.5967,422.9619,524.0220,19.6351,2.07
1000,1280,720,90,490.4674,485.1516,430.6463,596.5222,32.7845,2.04
1000,1280,720,90,483.2054,478.3448,428.4288,635.2380,32.3495,2.07
1000,1280,720,90,477.6830,473.5718,419.6343,688.0594,30.4134,2.09
1000,1280,720,90,491.5831,482.8316,431.3023,689.7884,32.9119,2.03
1000,1280,720,90,485.7915,483.8040,434.4518,571.5349,22.2283,2.06
1000,1280,720,90,485.7652,484.7038,439.2156,585.6551,23.2898,2.06
1500,1280,720,90,715.5851,717.7086,659.5828,862.3464,25.9144,1.40
1500,1280,720,90,719.0580,718.1086,638.9412,916.2955,37.7138,1.39
1500,1280,720,90,720.1164,719.3354,664.3572,809.3232,26.6163,1.39
1500,1280,720,90,728.7043,720.0997,669.1068,913.0939,38.7335,1.37
1500,1280,720,90,720.6639,722.7923,459.8371,895.3370,64.0458,1.39
